Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Component\Component.csproj,File,src\Component\Component.csproj,,,Microsoft.AspNetCore.Components.Web 6.0.36,,,,,"Microsoft.AspNetCore.Components.Web, 6.0.36  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 8.0.22"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Component\Component.csproj,File,src\Component\Component.csproj,,,,,,,,Current target framework: net6.0;net7.0;net8.0;net9.0;net10.0 Recommended target framework: net6.0;net7.0;net8.0;net9.0;net10.0;net8.0
